"pathway","group","location","estimate","probability","ci_lower","ci_upper","p_value","significant"
"Express_courier","Express_courier;baggage;fomite;personal effects","FL Miami Air Cargo CBP",2.50684191441565e-11,2.90070146533302e-12,0,1,0.999999999999995,FALSE
"Express_courier","Express_courier;baggage;fomite;personal effects","KY Louisville CBP",17.823494285939,0.00015961691939339,0,1,0.995515246677619,FALSE
"Express_courier","Express_courier;baggage;fomite;personal effects","OH Cincinnati DHL CBP",7.10913357722442e-13,2.90070146526237e-12,0,1,1,FALSE
"Express_courier","Express_courier;baggage;fomite;personal effects","PR Aguadilla CBP",1.49843595474323e-12,2.90070146526466e-12,0,1,1,FALSE
"Express_courier","Express_courier;baggage;fomite;personal effects","TN Memphis Fed-X CBP",-7.73158615020029e-11,2.90070146503604e-12,0,1,0.999999999999985,FALSE
"Express_courier","Express_courier;baggage;fomite;personal effects","Average",NA,1.47258055015609e-05,0,4.41774165046828e-05,NA,NA
"Land Border - Truck - Conveyance - CBP NB","Land Border - Truck - Conveyance - CBP NB;baggage;swine products/by-products;personal use or consumption","ALEXANDRIA BAY, NY (0708)",-8.42923591266314,0.000218340611352393,3.07554095763175e-05,0.00154828500648612,3.50676107256282e-17,TRUE
"Land Border - Truck - Conveyance - CBP NB","Land Border - Truck - Conveyance - CBP NB;baggage;swine products/by-products;personal use or consumption","BLAINE, WA (3004)",3.74110169124522,0.00911990431574664,0.000572993546799559,0.128733278711491,0.000191158248005321,TRUE
"Land Border - Truck - Conveyance - CBP NB","Land Border - Truck - Conveyance - CBP NB;baggage;swine products/by-products;personal use or consumption","BUFFALO-NIAGARA FALLS (0901)",2.6157689508674,0.00297816015883028,0.000183187971118536,0.046436538568724,0.00988574341011313,TRUE
"Land Border - Truck - Conveyance - CBP NB","Land Border - Truck - Conveyance - CBP NB;baggage;swine products/by-products;personal use or consumption","CALAIS, ME (0115)",-12.1368326090187,1.17022649330303e-09,1.07881976632984e-224,1,0.961681863127674,FALSE
"Land Border - Truck - Conveyance - CBP NB","Land Border - Truck - Conveyance - CBP NB;baggage;swine products/by-products;personal use or consumption","CHAMPLAIN-ROUSES POINT (0712)",2.43920095836102,0.00249732429538849,0.00014901358046685,0.0403589619216251,0.0184701674181855,TRUE
"Land Border - Truck - Conveyance - CBP NB","Land Border - Truck - Conveyance - CBP NB;baggage;swine products/by-products;personal use or consumption","DERBY LINE, VT (0209)",4.25521942511688,0.0151570489407488,0.000953335148641537,0.198858713929432,2.34762295522908e-05,TRUE
"Land Border - Truck - Conveyance - CBP NB","Land Border - Truck - Conveyance - CBP NB;baggage;swine products/by-products;personal use or consumption","DETROIT, MI (3801)",3.33140407353462,0.00607287449391443,0.000378644106557475,0.0897142805998639,0.000931135023503025,TRUE
"Land Border - Truck - Conveyance - CBP NB","Land Border - Truck - Conveyance - CBP NB;baggage;swine products/by-products;personal use or consumption","DUNSEITH, ND (3422)",4.73501361413508,0.0242634315423751,0.00151385853533028,0.289694953343208,3.31651942113553e-06,TRUE
