"","pathway","INSPECTION_LOCATION_NAME","log_odds","pred_prob","lower_prob","upper_prob","container","product_pathway","product_subpathway","product_proportion","adjusted_prob","adjusted_lower","adjusted_upper"
"111","Express_courier","AGUADILLA, PR (4901)",-28.9163012093119,2.76573106484833e-13,0,1,"package","swine products/by-products","smuggled commercial products",0.0196078431372549,1.85325615181175e-16,1.85325615181175e-16,3.70651230362349e-16
"112","Express_courier","DHL COURIER CINCINNATI (4197)",-31.5994445005991,1.89032127484798e-14,0,1,"package","swine products/by-products","smuggled commercial products",0.0196078431372549,1.85325615181175e-16,1.85325615181175e-16,3.70651230362349e-16
"113","Express_courier","FEDERAL EXPRESS COURIER AK (3195)",-8.34363314029086,0.000237849837469278,7.67121093095188e-05,0.000737216094536814,"package","swine products/by-products","smuggled commercial products",0.0196078431372549,4.66372230331917e-06,1.504159006069e-06,1.44552175399375e-05
"114","Express_courier","FEDEX COURIER, MEMPHIS TN (2095)",-5.97402163349626,0.00253753436244449,0.00191278019050806,0.00336565825947973,"package","swine products/by-products","smuggled commercial products",0.0196078431372549,4.97555757342058e-05,3.75054939315306e-05,6.59932992054848e-05
"115","Land Border - Truck - Conveyance - CBP NB","ALEXANDRIA BAY, NY (0708)",-33.1770506153698,3.90292307786742e-15,0,1,"baggage","swine products/by-products","personal use or consumption",1,1.76994022519031e-15,1.76994022519031e-15,3.53988045038062e-15
"116","Land Border - Truck - Conveyance - CBP NB","BLAINE, WA (3004)",-8.57239135188102,0.000189223709730825,7.10195684624447e-05,0.000504066268984691,"baggage","swine products/by-products","personal use or consumption",1,0.000189223709730825,7.10195684624447e-05,0.000504066268984691
"117","Land Border - Truck - Conveyance - CBP NB","BUFFALO-NIAGARA FALLS (0901)",-8.75683981482946,0.0001573564122738,3.93538197816945e-05,0.000628967712538606,"baggage","swine products/by-products","personal use or consumption",1,0.0001573564122738,3.93538197816945e-05,0.000628967712538606
"118","Land Border - Truck - Conveyance - CBP NB","CALAIS, ME (0115)",-33.2415077858018,3.6592880590579e-15,0,1,"baggage","swine products/by-products","personal use or consumption",1,1.76994022519031e-15,1.76994022519031e-15,3.53988045038062e-15
"119","Land Border - Truck - Conveyance - CBP NB","CHAMPLAIN-ROUSES POINT (0712)",-7.29793753022578,0.000676475562320316,0.000253911921791188,0.00180100844966832,"baggage","swine products/by-products","personal use or consumption",1,0.000676475562320316,0.000253911921791188,0.00180100844966832
"120","Land Border - Truck - Conveyance - CBP NB","DERBY LINE, VT (0209)",-8.65678120562329,0.000173913043478262,2.44966016170846e-05,0.00123356728264218,"baggage","swine products/by-products","personal use or consumption",1,0.000173913043478262,2.44966016170846e-05,0.00123356728264218
"121","Land Border - Truck - Conveyance - CBP NB","DETROIT, MI (3801)",-34.2528965330784,1.33093254984917e-15,0,1,"baggage","swine products/by-products","personal use or consumption",1,1.76994022519031e-15,1.76994022519031e-15,3.53988045038062e-15
"122","Land Border - Truck - Conveyance - CBP NB","DUNSEITH, ND (3422)",-31.7452548181475,1.63384557359714e-14,0,1,"baggage","swine products/by-products","personal use or consumption",1,1.76994022519031e-15,1.76994022519031e-15,3.53988045038062e-15
"123","Land Border - Truck - Conveyance - CBP NB","EASTPORT, ID (3302)",-33.3064304320712,3.4292650354529e-15,0,1,"baggage","swine products/by-products","personal use or consumption",1,1.76994022519031e-15,1.76994022519031e-15,3.53988045038062e-15
"124","Land Border - Truck - Conveyance - CBP NB","FORT FAIRFIELD, ME (0107)",-31.1136163024867,3.07275637079134e-14,0,1,"baggage","swine products/by-products","personal use or consumption",1,1.76994022519031e-15,1.76994022519031e-15,3.53988045038062e-15
"125","Land Border - Truck - Conveyance - CBP NB","GRAND PORTAGE, MN (3613)",-30.8861051661848,3.85775780717806e-14,0,1,"baggage","swine products/by-products","personal use or consumption",1,1.76994022519031e-15,1.76994022519031e-15,3.53988045038062e-15
"126","Land Border - Truck - Conveyance - CBP NB","HIGHGATE SPRINGS/ALBURG (0212)",-33.2817845593833,3.51483237457751e-15,0,1,"baggage","swine products/by-products","personal use or consumption",1,1.76994022519031e-15,1.76994022519031e-15,3.53988045038062e-15
"127","Land Border - Truck - Conveyance - CBP NB","HOULTON, ME (0106)",-32.9845159865851,4.73158578930511e-15,0,1,"baggage","swine products/by-products","personal use or consumption",1,1.76994022519031e-15,1.76994022519031e-15,3.53988045038062e-15
"128","Land Border - Truck - Conveyance - CBP NB","INTERNATIONAL FALLS, MN (3604)",-33.2528807642895,3.61790681471888e-15,0,1,"baggage","swine products/by-products","personal use or consumption",1,1.76994022519031e-15,1.76994022519031e-15,3.53988045038062e-15
"129","Land Border - Truck - Conveyance - CBP NB","JACKMAN, ME (0104)",-32.0309242896714,1.22785287294933e-14,0,1,"baggage","swine products/by-products","personal use or consumption",1,1.76994022519031e-15,1.76994022519031e-15,3.53988045038062e-15
"130","Land Border - Truck - Conveyance - CBP NB","LYNDEN, WA (3023)",-32.8841367204704,5.23119464940231e-15,0,1,"baggage","swine products/by-products","personal use or consumption",1,1.76994022519031e-15,1.76994022519031e-15,3.53988045038062e-15
"131","Land Border - Truck - Conveyance - CBP NB","OROVILLE, WA (3019)",-8.68727346178783,0.000168690958164643,2.37610573978134e-05,0.00119655893087873,"baggage","swine products/by-products","personal use or consumption",1,0.000168690958164643,2.37610573978134e-05,0.00119655893087873
"132","Land Border - Truck - Conveyance - CBP NB","PEMBINA, ND (3401)",-33.2711138797561,3.55253884383517e-15,0,1,"baggage","swine products/by-products","personal use or consumption",1,1.76994022519031e-15,1.76994022519031e-15,3.53988045038062e-15
"133","Land Border - Truck - Conveyance - CBP NB","PORT HURON, MI (3802)",-33.9318117096555,1.83485357972077e-15,0,1,"baggage","swine products/by-products","personal use or consumption",1,1.76994022519031e-15,1.76994022519031e-15,3.53988045038062e-15
"134","Land Border - Truck - Conveyance - CBP NB","PORTAL, ND (3403)",-33.2746834394142,3.53988045038062e-15,0,1,"baggage","swine products/by-products","personal use or consumption",1,1.76994022519031e-15,1.76994022519031e-15,3.53988045038062e-15
"135","Land Border - Truck - Conveyance - CBP NB","PORTHILL, ID (3308)",-32.3872170960175,8.59825519946987e-15,0,1,"baggage","swine products/by-products","personal use or consumption",1,1.76994022519031e-15,1.76994022519031e-15,3.53988045038062e-15
"136","Land Border - Truck - Conveyance - CBP NB","ROOSVILLE, MT (3318)",-33.3140318782083,3.40329648630287e-15,0,1,"baggage","swine products/by-products","personal use or consumption",1,1.76994022519031e-15,1.76994022519031e-15,3.53988045038062e-15
"137","Land Border - Truck - Conveyance - CBP NB","SUMAS, WA (3009)",-33.3138515612804,3.40391021360081e-15,0,1,"baggage","swine products/by-products","personal use or consumption",1,1.76994022519031e-15,1.76994022519031e-15,3.53988045038062e-15
