entry_type,container,ITEM_TYPE,ITEM,IS_ASF_RISK,IS_CSF_RISK,IS_FMD_RISK,product_pathway,product_subpathway
commercial,container,Animal,"Pork, Processed",HIGH,HIGH,HIGH,swine products/by-products,commercial
eco,package,Animal,"Pork, Processed",HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
mail,package,Animal,"Pork, Processed",HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
passenger,baggage,Animal,"Pork, Processed",HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
unknown,unknown,Animal,"Pork, Processed",HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
commercial,container,Animal,"Pork, Ham",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,commercial
eco,package,Animal,"Pork, Ham",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
mail,package,Animal,"Pork, Ham",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
passenger,baggage,Animal,"Pork, Ham",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
unknown,unknown,Animal,"Pork, Ham",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
commercial,container,Animal,"Pork, Fat/Lard",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,commercial
eco,package,Animal,"Pork, Fat/Lard",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
mail,package,Animal,"Pork, Fat/Lard",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
passenger,baggage,Animal,"Pork, Fat/Lard",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
unknown,unknown,Animal,"Pork, Fat/Lard",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
commercial,container,Animal,"Pork, Dried",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,commercial
eco,package,Animal,"Pork, Dried",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
mail,package,Animal,"Pork, Dried",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
passenger,baggage,Animal,"Pork, Dried",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
unknown,unknown,Animal,"Pork, Dried",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
commercial,container,Animal,"Pork, Chorizo",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,commercial
eco,package,Animal,"Pork, Chorizo",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
mail,package,Animal,"Pork, Chorizo",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
passenger,baggage,Animal,"Pork, Chorizo",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
unknown,unknown,Animal,"Pork, Chorizo",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
commercial,container,Animal,"Pork, Bacon",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,commercial
eco,package,Animal,"Pork, Bacon",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
mail,package,Animal,"Pork, Bacon",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
passenger,baggage,Animal,"Pork, Bacon",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
unknown,unknown,Animal,"Pork, Bacon",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
commercial,container,Animal,Pork Product,HIGH,HIGH,HIGH,swine products/by-products,commercial
eco,package,Animal,Pork Product,HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
mail,package,Animal,Pork Product,HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
passenger,baggage,Animal,Pork Product,HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
unknown,unknown,Animal,Pork Product,HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
commercial,container,Animal,Pork,HIGH,HIGH,HIGH,swine products/by-products,commercial
